promoter,cds,S,E,M,NI,T,O,B,I,F,A,R
PIn1,A1,A1,A1,A1,A1,A1:B1,A1:B1,A1:B1,A1:B1,A1:B1,A1:B1,A1
PIn2,B1,B1,B1,B1,B1,A1:H1,A1:H1,A1:H1,A1:H1,A1:H1,A1:H1,B1
PA1,B2,H1,H1,H1,H1,A1:S1,A1:S1,A1:S1,A1:S1,A1:S1,A1:S1,B2
PA2,H1,S1,S1,S1,S1,A1:P1,A1:P1,A1:P1,A1:P1,A1:P1,A1:P1,H1
PB1,H2,Y,Y,Y,Y,A1:P2,A1:P2,A1:P2,A1:P2,A1:P2,A1:P2,H2
PB2,P1,P1,P1,P1,P1,A1:Y,A1:Y,A1:Y,A1:Y,A1:Y,A1:Y,P1
PH1,P2,P2,P2,P2,P2,B1:H1,B1:H1,B1:H1,B1:H1,B1:H1,B1:H1,P2
PP1,S1,PIn1,PIn1,PIn1,PIn1,B1:S1,B1:S1,B1:S1,B1:S1,B1:S1,B1:S1,S1
PP2,Y,PIn2,PIn2,PIn2,PIn2,B1:P1,B1:P1,B1:P1,B1:P1,B1:P1,B1:P1,Y
PS1,,PA1,PA1,PA1,PA1,B1:Y,B1:Y,B1:Y,B1:Y,B1:Y,B1:Y,PIn1
,,PA2,PA2,PA2,PA2,B2:H1,B2:H1,B2:H1,B2:H1,B2:H1,B2:H1,PIn2
,,PB1,PB1,PB1,PB1,B2:S1,B2:S1,B2:S1,B2:S1,B2:S1,B2:S1,PA1
,,PB2,PB2,PB2,PB2,B2:Y,B2:Y,B2:Y,B2:Y,B2:Y,B2:Y,PA2
,,PH1,PH1,PH1,PH1,H1:S1,H1:S1,H1:S1,H1:S1,H1:S1,H1:S1,PB1
,,PP1,PP1,PP1,PP1,H1:P1,H1:P1,H1:P1,H1:P1,H1:P1,H1:P1,PB2
,,PP2,PP2,PP2,PP2,H1:Y,H1:Y,H1:Y,H1:Y,H1:Y,H1:Y,PH1
,,PS1,PS1,PS1,PS1,H2:S1,H2:S1,H2:S1,H2:S1,H2:S1,H2:S1,PP1
,,H2,H2,H2,H2,H2:P1,H2:P1,H2:P1,H2:P1,H2:P1,H2:P1,PP2
,,B2,B2,B2,B2,H2:Y,H2:Y,H2:Y,H2:Y,H2:Y,H2:Y,PS1
,,,,,,P1:S1,P1:S1,P1:S1,P1:S1,P1:S1,P1:S1,
,,,,,,P1:Y,P1:Y,P1:Y,P1:Y,P1:Y,P1:Y,
,,,,,,P2:S1,P2:S1,P2:S1,P2:S1,P2:S1,P2:S1,
,,,,,,P2:Y,P2:Y,P2:Y,P2:Y,P2:Y,P2:Y,
,,,,,,S1:Y,S1:Y,S1:Y,S1:Y,S1:Y,S1:Y,
,,,,,,P1:P2,P1:P2,P1:P2,P1:P2,P1:P2,P1:P2,
,,,,,,B2:P1,B2:P1,B2:P1,B2:P1,B2:P1,B2:P1,
,,,,,,B2:P2,B2:P2,B2:P2,B2:P2,B2:P2,B2:P2,
,,,,,,H1:H2,H1:H2,H1:H2,H1:H2,H1:H2,H1:H2,
,,,,,,A1:H2,A1:H2,A1:H2,A1:H2,A1:H2,A1:H2,
,,,,,,A1:B2,A1:B2,A1:B2,A1:B2,A1:B2,A1:B2,
