,totalImperfection,ruleSpaceID,goodDesignsElim,impact,totalPerfection,numIncorrect,poorDesignsElim,totalDesignsElim,poorPerfection,poornessPercent,numCorrect,goodPerfection,goodnessPercent,poorEliminationPercent
final_P2_Y_Rule_T,False,final_P2_Y_Rule_T,1757,-51,False,3028,727,2484,False,63,968,False,12,29
final_P2_Rule_M,False,final_P2_Rule_M,1757,-51,False,3028,727,2484,False,63,968,False,12,29
final_PP2_Rule_M,False,final_PP2_Rule_M,1792,-38,False,2774,1016,2808,False,49,1222,False,10,36
final_PH1_Rule_NI,False,final_PH1_Rule_NI,1065,-32,False,2652,411,1476,False,79,1344,False,46,27
final_P1_Rule_M,False,final_P1_Rule_M,1524,-28,False,2562,960,2484,False,51,1434,False,23,38
final_P1_Y_Rule_T,False,final_P1_Y_Rule_T,1524,-28,False,2562,960,2484,False,51,1434,False,23,38
final_A1_H2_Rule_T,False,final_A1_H2_Rule_T,1175,-27,False,2548,625,1800,False,68,1448,False,41,34
final_A1_H1_Rule_T,False,final_A1_H1_Rule_T,1131,-23,False,2460,669,1800,False,66,1536,False,43,37
final_H2_Y_Rule_F,False,final_H2_Y_Rule_F,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H2_Y_Rule_A,False,final_H2_Y_Rule_A,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H2_Rule_NI,False,final_H2_Rule_NI,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H2_P1_Rule_A,False,final_H2_P1_Rule_A,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H2_Y_Rule_O,False,final_H2_Y_Rule_O,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H2_P1_Rule_F,False,final_H2_P1_Rule_F,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H2_S1_Rule_A,False,final_H2_S1_Rule_A,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H2_S1_Rule_F,False,final_H2_S1_Rule_F,705,-23,False,2472,231,936,False,88,1524,False,64,24
final_H1_H2_Rule_T,False,final_H1_H2_Rule_T,764,-22,False,2446,316,1080,False,84,1550,False,61,29
final_H1_S1_Rule_F,False,final_H1_S1_Rule_F,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_Y_Rule_F,False,final_H1_Y_Rule_F,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_P1_Rule_F,False,final_H1_P1_Rule_F,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_H2_Rule_F,False,final_H1_H2_Rule_F,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_Y_Rule_O,False,final_H1_Y_Rule_O,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_H2_Rule_A,False,final_H1_H2_Rule_A,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_Y_Rule_A,False,final_H1_Y_Rule_A,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_P1_Rule_A,False,final_H1_P1_Rule_A,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_Rule_NI,False,final_H1_Rule_NI,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_H1_S1_Rule_A,False,final_H1_S1_Rule_A,661,-19,False,2384,275,936,False,86,1612,False,66,29
final_A1_Rule_NI,False,final_A1_Rule_NI,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_S1_Rule_F,False,final_A1_S1_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_P2_Rule_F,False,final_A1_P2_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_P2_Rule_A,False,final_A1_P2_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_S1_Rule_A,False,final_A1_S1_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_H2_Rule_A,False,final_A1_H2_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_Y_Rule_A,False,final_A1_Y_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_P1_Rule_F,False,final_A1_P1_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_Y_Rule_F,False,final_A1_Y_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_B2_Rule_A,False,final_A1_B2_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_B1_Rule_A,False,final_A1_B1_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_B2_Rule_F,False,final_A1_B2_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_Y_Rule_O,False,final_A1_Y_Rule_O,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_H1_Rule_F,False,final_A1_H1_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_B1_Rule_F,False,final_A1_B1_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_P1_Rule_A,False,final_A1_P1_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_H1_Rule_A,False,final_A1_H1_Rule_A,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_A1_H2_Rule_F,False,final_A1_H2_Rule_F,758,-18,False,2362,394,1152,False,80,1634,False,62,34
final_S1_Y_Rule_T,False,final_S1_Y_Rule_T,1848,-15,False,2310,1536,3384,False,23,1686,False,7,45
final_PS1_Rule_M,False,final_PS1_Rule_M,1848,-15,False,2310,1536,3384,False,23,1686,False,7,45
final_S1_Rule_M,False,final_S1_Rule_M,1848,-15,False,2310,1536,3384,False,23,1686,False,7,45
final_A1_B2_Rule_O,False,final_A1_B2_Rule_O,288,-14,False,2286,0,288,True,100,1710,False,85,0
final_B2_S1_Rule_F,False,final_B2_S1_Rule_F,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_Rule_NI,False,final_B2_Rule_NI,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_H1_Rule_A,False,final_B2_H1_Rule_A,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_P1_Rule_A,False,final_B2_P1_Rule_A,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_H1_Rule_F,False,final_B2_H1_Rule_F,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_Y_Rule_O,False,final_B2_Y_Rule_O,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_S1_Rule_A,False,final_B2_S1_Rule_A,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_P1_Rule_F,False,final_B2_P1_Rule_F,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_Y_Rule_F,False,final_B2_Y_Rule_F,905,-14,False,2296,607,1512,False,69,1700,False,54,40
